54	11
102	3
246	4
4785	1
59	5
1831	1
1830	1
345	1
342	1
132	3
905	2
901	2
2386	1
887	2
1323	1
37	3
92	7
697	1
2271	1
1001	1
177	3
192	4
40	2
106	2
195	3
1920	2
183	4
78	7
248	2
75	8
2650	2
148	3
73	3
385	1
214	4
79	4
166	4
353	1
464	2
194	2
457	2
453	3
455	2
630	3
233	1
11	4
1584	1
656	3
298	1
19	1
21	1
99	7
677	1
959	3
25	2
62	7
991	1
613	3
33	3
156	3
197	5
743	2
432	1
46	3
912	1
51	1
563	2
63	2
1080	2
911	1
259	2
101	4
284	4
748	3
949	1
356	2
135	4
450	3
159	8
157	2
1333	1
1605	2
420	2
188	2
581	1
2032	5
229	1
745	3
299	2
732	3
1286	1
533	1
438	3
555	2
419	1
615	3
1160	2
1253	1
483	1
486	2
989	1
404	4
944	1
1210	1
1032	4
1188	1
1298	1
1526	1
1043	1
1316	1
966	2
1410	1
2907	1
348	1
423	1
1635	1
1	1
22	1
1135	4
2219	1
545	1
220	2
264	4
1171	1
602	1
1226	2
631	1
10	1
39	2
579	3
53	6
95	5
97	5
1255	1
96	4
110	2
673	2
1200	1
675	4
942	2
137	3
975	1
1192	1
1288	2
170	2
394	1
203	1
219	3
1925	1
225	2
689	2
1216	1
868	1
416	1
685	2
705	2
814	2
1018	2
3201	1
906	1
279	2
4	1
4791	1
4789	1
147	4
1074	1
1281	1
481	1
48	6
302	2
173	3
251	1
140	3
93	2
202	1
69	4
81	5
560	1
172	2
90	7
216	4
1047	1
100	4
474	2
236	1
837	1
240	7
129	5
143	3
144	4
154	1
341	2
335	3
168	4
363	1
376	4
201	4
222	2
226	1
510	3
346	2
312	2
283	2
2068	1
361	1
1060	1
594	3
333	1
654	1
445	3
435	2
479	1
534	2
948	1
1271	1
1028	1
598	4
463	3
1229	1
1346	2
733	1
1312	1
889	1
1704	1
1587	2
801	1
1723	1
1024	1
1354	1
1221	1
850	1
1910	2
985	2
683	3
690	1
695	1
1717	1
831	1
505	2
254	2
566	2
1905	2
2025	1
16	3
5	4
433	2
12	2
35	2
43	8
58	2
98	5
66	2
72	2
119	5
76	10
366	2
107	2
52	2
56	8
122	3
241	4
67	3
155	2
182	1
181	5
179	2
84	4
189	3
311	3
378	2
245	3
234	6
256	2
368	1
382	2
242	3
717	4
616	4
139	4
268	1
134	3
297	2
164	5
323	2
334	1
632	1
339	1
327	1
149	2
313	1
609	1
350	1
213	2
187	4
211	5
364	4
1136	3
208	2
583	1
391	2
529	2
504	1
670	1
275	2
439	4
446	1
502	2
224	4
687	1
804	1
318	1
343	1
1174	1
582	1
667	3
574	2
779	1
696	1
386	1
2319	1
708	3
597	1
1254	1
306	2
406	2
466	4
861	1
1832	1
1416	1
596	3
1077	1
980	1
469	1
478	2
521	2
557	1
835	1
909	2
610	2
1241	4
2501	1
568	1
4715	1
1294	1
974	3
1654	1
573	1
1269	1
851	2
1305	2
754	6
1373	1
1182	2
1622	2
2391	1
1202	1
1170	2
2331	1
1782	1
902	1
768	1
813	1
830	3
849	1
2061	1
103	4
866	1
1128	1
1334	1
2	4
23	3
27	9
32	2
71	3
49	3
